Lat,Lng, QPF_201406070000
48.4,-125.2,0.0
48.0,-125.2,0.0
47.6,-125.2,0.0
47.2,-125.2,0.0
46.8,-125.2,0.0
46.4,-125.2,0.0
46.0,-125.2,0.0
45.6,-125.2,0.0
45.2,-125.2,0.0
44.8,-125.2,0.0
44.4,-125.2,0.0
44.0,-125.2,0.0
43.6,-125.2,0.0
43.2,-125.2,0.0
42.8,-125.2,0.0
42.4,-125.2,0.0
41.2,-125.2,0.0
41.6,-125.2,0.0
42.0,-125.2,0.0
40.4,-125.2,0.0
40.8,-125.2,0.0
39.2,-125.2,0.0
39.6,-125.2,0.0
40.0,-125.2,0.0
38.8,-125.2,0.0
48.8,-108.0,0.010000000000000005
48.4,-108.0,0.010000000000000005
48.0,-108.0,0.010000000000000005
47.6,-108.0,0.010000000000000005
47.2,-108.0,0.010000000000000005
46.8,-108.0,0.010333333333333338
46.4,-108.0,0.01967741935483872
46.0,-108.0,0.029166666666666688
45.6,-108.0,0.032096774193548415
45.2,-108.0,0.03111111111111113
44.8,-108.0,0.025666666666666678
44.4,-108.0,0.0017460317460317458
43.2,-108.0,0.0
43.6,-108.0,1.5873015873015873E-4
44.0,-108.0,0.005468750000000002
42.4,-108.0,0.004193548387096775
42.8,-108.0,6.451612903225806E-4
41.2,-108.0,0.0
41.6,-108.0,0.0
42.0,-108.0,0.0
40.4,-108.0,0.0
40.8,-108.0,0.0
39.2,-108.0,7.936507936507937E-4
39.6,-108.0,1.5625E-4
40.0,-108.0,1.5873015873015873E-4
38.4,-108.0,0.0
38.8,-108.0,0.0
37.2,-108.0,0.0
37.6,-108.0,0.0
38.0,-108.0,0.0
36.8,-108.0,0.0
36.4,-108.0,0.0
36.0,-108.0,0.0
35.6,-108.0,0.0
35.2,-108.0,0.0
34.8,-108.0,0.0
34.4,-108.0,0.0
34.0,-108.0,0.0
33.6,-108.0,0.0
33.2,-108.0,0.0
32.4,-108.0,0.0
32.8,-108.0,0.0
31.6,-108.0,0.0
32.0,-108.0,0.0
48.4,-90.8,0.015
48.0,-90.8,0.02684210526315791
47.6,-90.8,0.023272727272727285
47.2,-90.8,4.5454545454545455E-4
46.8,-90.8,0.030322580645161308
46.4,-90.8,0.05849999999999996
46.0,-90.8,0.09406779661016952
45.6,-90.8,0.055857142857142855
45.2,-90.8,0.024137931034482772
44.4,-90.8,0.020285714285714296
44.8,-90.8,0.025714285714285728
43.2,-90.8,0.010000000000000005
43.6,-90.8,0.014000000000000009
44.0,-90.8,0.02000000000000001
42.4,-90.8,1.639344262295082E-4
42.8,-90.8,0.008805970149253736
41.2,-90.8,0.0
41.6,-90.8,0.0
42.0,-90.8,0.0
40.4,-90.8,0.0
40.8,-90.8,0.0
39.2,-90.8,0.0
39.6,-90.8,0.0
40.0,-90.8,0.0
38.4,-90.8,0.0
38.8,-90.8,0.0
37.6,-90.8,0.0
37.2,-90.8,0.01984126984126985
38.0,-90.8,0.0
36.8,-90.8,0.05555555555555553
36.4,-90.8,0.2591176470588234
36.0,-90.8,0.46229508196721336
35.6,-90.8,0.6088333333333334
35.2,-90.8,0.6449999999999991
34.8,-90.8,0.5769117647058825
34.4,-90.8,0.532222222222222
34.0,-90.8,0.3111111111111112
33.2,-90.8,0.21984848484848502
33.6,-90.8,0.24027777777777778
32.4,-90.8,0.12000000000000009
32.8,-90.8,0.13322033898305088
31.2,-90.8,0.0
31.6,-90.8,0.0
32.0,-90.8,0.06166666666666671
30.8,-90.8,0.0
30.4,-90.8,0.0
30.0,-90.8,0.0
29.6,-90.8,0.0
29.2,-90.8,0.0
28.4,-90.8,0.0
28.8,-90.8,0.0
45.2,-73.6,0.0
28.0,-90.8,0.0
44.8,-73.6,0.0
44.4,-73.6,0.0
44.0,-73.6,0.0
43.2,-73.6,0.0
43.6,-73.6,0.0
42.4,-73.6,0.0
42.8,-73.6,0.0
41.2,-73.6,0.0
41.6,-73.6,0.0
42.0,-73.6,0.0
40.4,-73.6,0.0
40.8,-73.6,0.0
39.6,-73.6,0.0
40.0,-73.6,0.0
48.4,-124.0,0.0
48.0,-124.0,0.0
47.6,-124.0,0.0
47.2,-124.0,0.0
46.8,-124.0,0.0
46.4,-124.0,0.0
46.0,-124.0,0.0
45.6,-124.0,0.0
45.2,-124.0,0.0
44.8,-124.0,0.0
44.4,-124.0,0.0
44.0,-124.0,0.0
43.6,-124.0,0.0
43.2,-124.0,0.0
42.8,-124.0,0.0
42.4,-124.0,0.0
41.2,-124.0,0.0
41.6,-124.0,0.0
42.0,-124.0,0.0
40.4,-124.0,0.0
40.8,-124.0,0.0
39.2,-124.0,0.0
39.6,-124.0,0.0
40.0,-124.0,0.0
38.4,-124.0,0.0
38.8,-124.0,0.0
37.2,-124.0,0.0
37.6,-124.0,0.0
38.0,-124.0,0.0
48.8,-106.8,0.010000000000000005
48.4,-106.8,0.0013114754098360656
48.0,-106.8,0.005000000000000002
47.6,-106.8,0.010000000000000005
47.2,-106.8,0.010000000000000005
46.8,-106.8,0.015081967213114762
46.4,-106.8,0.02349206349206351
46.0,-106.8,0.03234375000000001
45.6,-106.8,0.03881355932203391
45.2,-106.8,0.031746031746031765
44.8,-106.8,0.0398360655737705
44.4,-106.8,0.04032786885245902
43.2,-106.8,0.010000000000000005
43.6,-106.8,0.010806451612903232
44.0,-106.8,0.02461538461538463
42.4,-106.8,0.0034426229508196728
42.8,-106.8,0.008852459016393447
41.2,-106.8,0.0
41.6,-106.8,0.0
42.0,-106.8,0.0
40.4,-106.8,0.0033333333333333335
40.8,-106.8,0.003492063492063493
39.2,-106.8,0.0107936507936508
39.6,-106.8,0.010952380952380958
40.0,-106.8,0.02046875000000001
38.4,-106.8,0.00777777777777778
38.8,-106.8,0.007500000000000004
37.2,-106.8,4.6875E-4
37.6,-106.8,0.005396825396825399
38.0,-106.8,0.03468750000000002
36.8,-106.8,0.0
36.4,-106.8,0.0
36.0,-106.8,0.0
35.6,-106.8,0.0
35.2,-106.8,0.0
34.8,-106.8,0.0
34.4,-106.8,0.0
34.0,-106.8,0.0
33.6,-106.8,0.0
33.2,-106.8,0.0
32.4,-106.8,0.0
32.8,-106.8,0.0
31.6,-106.8,0.0
32.0,-106.8,0.0
48.0,-89.6,0.014062500000000006
47.6,-89.6,0.0
47.2,-89.6,0.0
46.8,-89.6,0.0
46.4,-89.6,0.04650793650793651
46.0,-89.6,0.0519354838709677
45.6,-89.6,0.04333333333333335
45.2,-89.6,0.030000000000000023
44.4,-89.6,0.022222222222222233
44.8,-89.6,0.030000000000000023
43.2,-89.6,0.009090909090909096
43.6,-89.6,0.011147540983606563
44.0,-89.6,0.017741935483870975
42.4,-89.6,0.0
42.8,-89.6,5.0E-4
41.2,-89.6,0.0
41.6,-89.6,0.0
42.0,-89.6,0.0
40.4,-89.6,0.0
40.8,-89.6,0.0
39.2,-89.6,0.0
39.6,-89.6,0.0
40.0,-89.6,0.0
38.4,-89.6,0.0
38.8,-89.6,0.0
37.6,-89.6,1.5873015873015873E-4
37.2,-89.6,0.009104477611940304
38.0,-89.6,0.0
36.8,-89.6,0.015396825396825405
36.4,-89.6,0.11634920634920638
36.0,-89.6,0.3505797101449275
35.6,-89.6,0.5095238095238094
35.2,-89.6,0.6542622950819673
34.8,-89.6,0.6577272727272719
34.4,-89.6,0.572741935483871
34.0,-89.6,0.44507692307692326
33.2,-89.6,0.12063492063492072
33.6,-89.6,0.16528571428571429
32.4,-89.6,0.13409090909090912
32.8,-89.6,0.12250000000000003
31.2,-89.6,0.0
31.6,-89.6,0.014571428571428572
32.0,-89.6,0.1516949152542374
30.8,-89.6,0.010937500000000006
30.4,-89.6,0.0
